Sentence,Opinion
"Furthermore, both sides became increasingly fearful of social unrest and revolution in Europe.",0
"On 5 May Himmler claimed in a speech that ""the Jewish question has in general been solved in Germany and in the countries occupied by Germany"".",0
"As advertised, it is very easy on the eyes, combined with font sizing and easy navigation this does what it was meant to do.",1
The transmission is the worst ever for camry.,1
Haven't driven with it yet since the update,1
The Meiji era saw the decline of traditional literary forms as Japanese literature integrated Western influences.,0
"For some reason, my brain wants a prior page button on the left side and the next page button on the right.",1
"As prisoners entered the death camps, they were ordered to surrender all personal property, which was catalogued and tagged before being sent to Germany for reuse or recycling.",0
An earlier implicit mention was by Konstantin Tsiolkovsky in an unpublished manuscript from 1933.,0
Battery life advertised at 10. 5 Hour Battery Life to anyone who was looking to make a netbook purchase  ,1
"Western Europe, meanwhile, relied on a mix of the Theodosian Code and Germanic customary law until the Justinian Code was rediscovered in the 11th century, and scholars at the University of Bologna used it to interpret their own laws.",0
We used room service one night and it was excellent.,1
It was accurate on determing original directions and recalculating when necessary.,1
"On the other side of the city, the 11th Company of the 45th Regiment encountered some 20,000 Chinese soldiers who were making their way from Xiakuan.",0
"Walmart sued Amazon on October 16, 1998, alleging that Amazon had stolen Walmart's trade secrets by hiring former Walmart executives.",0
The Treaty ended the state of war between Germany and the Allied Powers.,0
"The largest bloc, led by Senator Lodge, comprised a majority of the Republicans.",0
3 Love the touch screen technology.,1
"And although they were not personally close, the Emperor Franz Joseph was profoundly shocked and upset.",0
Too close a spacing caused the fibres to break while too distant a spacing caused uneven thread.,0
"When the besieged garrison of Kaunas surrendered in 1915, some 20,000 Russians became prisoners, at the battle near Przasnysz (February–March 1915)",0
"Some Representatives questioned whether Obama had the constitutional authority to order military action in addition to questioning its cost, structure and aftermath.",0
"The occupying armies consisted of American, Belgian, British and French forces.",0
Raw materials and finished products could be moved more quickly and cheaply than before.,0
The exterior and interior are nice.,1
"In July 2014, the Federal Trade Commission launched a lawsuit against the company alleging it was promoting in-app purchases to children, which were being transacted without parental consent.",0
"In Japan, public opinion of the massacres varies, but few deny outright that the conflict occurred.",0
"He sponsored a law that increased tax credits for low-income workers, negotiated welfare reform, and promoted increased subsidies for childcare.",0
In mid-1942 labor camps began requiring newly arrived prisoners to be placed in quarantine for four weeks.,0
"In February 2013, Obama said the U.S. military would reduce the troop level in Afghanistan from 68,000 to 34,000 U.S. troops by February 2014.",0
I don't miss the pricetag of a printed book!,1
The food was good and the service was very good.,1
Serbia was declared free of Jews in August 1942.,0
N you can put music videos pictures.,1
I've owned all the iPod Nanos at one point,1
A key feature of the Dutch system is that premiums may not be related to health status or age.,0
"Room was an Executive Club floor room and was larger than average for a London Holiday Inn, well laid out and everything worked!",1
"During and after the Dutch Golden Age, the Dutch people built up a commercial and colonial empire.",0
"The road I live off of, the speed limit is 45, the GPS says that the speed limit is 50.",1
"The space probe Akatsuki was launched May 20, 2010, and achieved orbit around Venus on December 9, 2015.",0
"According to Karl Goetz, the submarine's commander, Baralong continued to fly the U.S. flag after firing on U-41 and then rammed the lifeboat – carrying the German survivors – sinking it.",0
"Asus' center of excellance is in very reliable, very stable, high performance circuitry, mainly motherboards.",1
Good Location New Room Bad Service .,1
Great location  great breakfast  bathrooms tiny.,1
"In May 2014, Prime Minister Shinzō",0
A Scandinavian folk belief that lightning frightens away trolls,0
Even contact at a safe distance could lead to infection by computer code or even ideas themselves.,0
"Very comfortable drive, holds the road very nicely and a blast to drive.",1
"In Q3 and Q4 2011, the Dutch economy contracted by 0.4% and 0.7%, respectively, because of European Debt Crisis, while in Q4 the Eurozone economy shrunk by 0.3%.",0
Room service was good and the staff extremely friendly.,1
"Doesn't take pictures, battery life  ",1
"I really did not have to deal with the staff too much, we asked for extra pillows and towels and they were brought right away, and check, in was easy.",1
"In November 2013, Amazon.com announced a partnership with the United States Postal Service to begin delivering orders on Sundays.",0
"The term Industrial Revolution applied to technological change was becoming more common by the late 1830s, as in Jérôme-Adolphe Blanqui's description in 1837 of la révolution industrielle.",0
"The country benefits from a highly skilled workforce and is among the most highly educated countries in the world, with one of the highest percentages of its citizens holding a tertiary education degree.",0
"In addition, the later of these two kings, Khyan, only adopted an Egyptian prenomen during the second half of his reign–a practice that was followed by subsequent Hyksos kings.",0
"Nevertheless, the political impact of the murder of the heir to the throne was significant and has been described as a ""9/11 effect"", a terrorist event charged with historic meaning, transforming the political chemistry in Vienna.",0
"Following Operation Michael, Germany launched Operation Georgette against the northern English Channel ports.",0
Excellent location near Fishermans Wharf.,1
"Þūnresdæg - ""Thunor's day""",0
I have used the video camera nd,1
"As a coastal region, Friesland is home to low-lying grasslands, and thus has a cheese production in common with the Western cuisine.",0
"Meanwhile, Chaytor's Force of Australian light horse, New Zealand mounted rifles, Indian, British West Indies and Jewish infantry captured the crossings of the Jordan River, Es Salt, Amman and at Ziza most of the Fourth Army (Ottoman Empire).",0
All entry by amateur athletes into the professional ranks must be under 23 to satisfy the entry unless they qualify for makushita tsukedashi (under 25).,0
The Aurora was commandeered to then fire blanks at the palace in a symbolic act of rejection of the government.,0
"While the books' take on Nanking is stilted and feels like the product of a committee, in various versions they acknowledge the deaths of thousands of Chinese including women and children, as well as looting, arson and assaults by Japanese soldiers.",0
"On the Western Front, the Allied forces launched the Hundred Days Offensive and decisively defeated the German western armies.",0
Excellent service and Awesome view.,1
"Windows 7 is fun, fast and creative,, it finally gave a newer more interesting look to the paint program and i have no issues at all.",1
"This is especially the case for pension funds, the most important form of trust, where investors are trustees for people's savings until retirement.",0
"Following a decrease to 9.7% in the first quarter of 2010, the unemployment rate fell to 9.6% in the second quarter, where it remained for the rest of the year.",0
The gas mileage is about 45 to the gallon going on the highway with cruise at about 800 or 900 RPM and about 38 going 70.,1
"The hotel is set in an absolutely ideal location, offers great rates, and excellent conceirge.",1
Most were captured just before the Armistice.,0
Keyboard is more than big enough for regular typing and keys have a nice tactile feel.,1
The staff is very pleasant and are truly an international group.,1
"In foreign policy, Obama ordered military intervention in Iraq in response to gains made by ISIL after the 2011 withdrawal from Iraq, continued the process of ending U.S. combat operations in Afghanistan, promoted discussions that led to the 2015 Paris Agreement on global climate change, initiated sanctions against Russia following the invasion in Ukraine and again after Russian interference in the 2016 United States elections, brokered a nuclear deal with Iran, and normalized U.S. relations with Cuba.",0
"Buddhism began to spread during the Heian era chiefly through two major sects, Tendai by Saichō and Shingon by Kūkai.",0
"but they didn't want to see it, they just wanted to say that there rooms never had fridges and didn't know why BW advertised that they did.",1
"The German Army employed 150 mm (6 in) and 210 mm (8 in) howitzers in 1914, when typical French and British guns were only 75 mm (3 in) and 105 mm (4 in).",0
"This agreement failed because Austria-Hungary and Russia could not agree over Balkan policy, leaving Germany and Austria-Hungary in an alliance formed in 1879, called the Dual Alliance.",0
Stayed in room 516 right at the end of the corridor was next to a services room from which there was a constant generator   fan noise.,1
The 2 days battery life was with the wireless turned ON which is wholly unneccesary in the normal operation of the device.,1
"Tiny and light the slightly smaller than standard keyboard is no problem for me to use,, and I'm a touch typist,, the keys themselves are a good size and feel good.",1
"Had 2 TSBs done to recalibrate engine, transmission.",1
"For 2 nights there were 4 of us and for the last night only 2, so I was looking for 2 rooms or a room with 2 beds.",1
"Thor asks Loki if his efforts were successful, and that Loki should tell him while he is still in the air as ""tales often escape a sitting man, and the man lying down often barks out lies.""",0
But after that it is very easy and quite accurate to use.,1
Steakley writes that the full extent of gay suffering was slow to emerge after the war.,0
"4, I like that you can change the battery in the Nook and you can add a memory card.",1
The hotel is clean and comfortalbe with a knowledgeable and helpful staff.,1
"In a German television report broadcast in February 2013, journalists Diana Löbl and Peter Onneken conducted a covert investigation at the distribution center of Amazon in the town of Bad Hersfeld in the German state of Hessen.",0
"The Germans saw them as hereditary criminals and ""asocials"", and this was reflected in their classification in the concentration camps, where they were usually counted among the asocials and given black triangles to wear.",0
"Below the advertised numbers, and a jerky, balky, surging transmission that is difficult to use.",1
The development of machine tools and the system of interchangeable parts were the basis for the rise of the US as the world's leading industrial nation in the late 19th century.,0
The border would be fixed with regard to the vote and to the geographical and economic conditions of each locality.,0
Their rebellion was finally crushed in mid-1916.,0
This was the start of the Muromachi period (1336–1573).,0
"There was an adequate self service buffet, not a huge selection or very well presented, cloths were not changed when food got spilt.",1
"Movies, videos, music, music, music.",1
"It's a great location  , literally a minute's walk to Gloucester Road tube station, 5 mins walk to the Victoria   Albert Museum and the British Science Museum.",1
"Amazon has separate retail websites for the United States, the United Kingdom and Ireland, France, Canada, Germany, Italy, Spain, Netherlands, Australia, Brazil, Japan, China, India, and Mexico.",0
This car is very comfortable car to drive.,1
My family stayed in 2 connecting rooms this July and had outstanding customer service.,1
This contributes to a lower maintenance requirement and less wear on the machinery they power than a comparable reciprocating engine.,0
"The staff was friendly and polite, and the a. Staff were helpful although the valet parking and the laundry costs were extremely expensive.",1
Truly fantastic gas mileage.,1
"Rooms are fairly small, but you have to expect this outside of North America.",1
Good Location,1
You cannot beat the location!,1
"Another, i needed one that had a LONG battery life, since it would be a bother to have to charge a netbook every 4, 5 hours.",1
In 1743 a factory opened in Northampton with 50 spindles on each of five of Paul and Wyatt's machines.,0
"The keyboard is comfortable to type on, it's not too small so that you have to consistently keep looking at the keyboard to find out which key you are going to press.",1
"I don't have a TV Tuner, so I can't take advantage of that feature, but there are other features & it seems to be working good.",1
This is a well run hotel with a great location for the metro  Rooms a bit on the small side,1
"Nineteen sites have been inscribed on the UNESCO World Heritage List, fifteen of which are of cultural significance.",0
"SHOWING ACTUAL SPEED IS NICE, ESPECIALLY FOR THE LITTLE WOMEN, AS SHE LOVES TO REMIND ME",1
In 2006 former Japanese prime minister Junichiro Koizumi made a pilgrimage to the shrine despite warnings from China and South Korea.,0
"For Manfred Bietak, the large number of attestations of Sheshi suggests that he was an important Hyksos ruler, yet his inclusion in the 15th Dynasty may be doubtful given the total absence of monuments attributable to him.",0
The philosophical work of Cheng Yi in turn influenced Zhu Xi.,0
Hypothetical civilizations of this sort may have advanced drastically enough to render communication impossible.,0
Amsterdam is the 5th-busiest tourist destination in Europe with more than 4.2 million international visitors.,0
This method aggregates (the sum of all activity) in only one market.,0
"The water frame was able to produce a hard, medium count thread suitable for warp, finally allowing 100% cotton cloth to be made in Britain.",0
I can easily get 8 hours on the battery life while running multiple programs and listening to music over the wireless internet.,1
you should not need to avail yourself of the very expensive mini bar in the rooms.,1
"Another great thing about the hotel is that every day, they offer wine and beer from 5, 6pm for free for all hotel guests.",1
"The second room was smaller, with a very inconvenient bathroom layout, but at least it was quieter and we were able to sleep.",1
The gods decide that they would find suitable cauldrons at Ægir's home.,0
Very Nice Hotel Very Bad Staff.,1
He ensured administrative stability by promoting the civil service examination system of drafting state bureaucrats by skill and merit (instead of aristocratic or military position) and promoted projects that ensured efficiency in communication throughout the empire.,0
"In April 2011 the government announced a major reduction in its military because of a cut in government expenditure, including a decrease in the number of tanks, fighter aircraft, naval ships and senior officials.",0
"For example, combined heat and power (CHP) systems use the waste steam for district heating, exceeding 80% combined efficiency.",0
The staff is quite accommodating.,1
"There are less steps to get to files, every application opens faster even desktop gadgets seem to function better.",1
"We found a friendly staff through out the hotel great location,rooms were small but as pointed out to me all land is prime in the area and all places have small rooms.",1
Dyson speculated that advanced alien civilizations might be detected by examining the spectra of stars and searching for such an altered spectrum.,0
"However, because of several disadvantages that slave ships faced compared to other trade ships, they often returned to their home port carrying whatever goods were readily available in the Americas and filled up a large part or all of their capacity with ballast.",0
Windows 7 is overall faster than Windows XP.,1
5 hour battery pack and the 2 GB Crucial upgrade from Amazon after continued delays from Dell on my new Vostro 1520 notebook with Xp.,1
"In December, Poles launched an uprising within the German province of Posen.",0
"These gadgets have sensitive touchscreen menus, and I think the fact that I didn't protect the screen on my last GPS is the reason it died after only 14 months.",1
"On those rare occasions when economists did successfully predict recessions, they significantly underestimated their severity.",0
"Other opposition came from conscientious objectors—some socialist, some religious—who refused to fight.",0
Working people also formed friendly societies and co-operative societies as mutual support groups against times of economic hardship.,0
"The refrigerator did not work, and when we asked about it were informed that a refrigerator did not come with our room, even though it was in the room.",1
The location and American standards   are nice touches.,1
The wrestler who wins the most matches over the 15 days wins the tournament championship (yūshō) for his division.,0
In this case at least one partner in the exchange may obtain meaningful information.,0
"That it doesn't have the quirky, clunky, annoying buttons that filled ¾ of each side of its predecessor, buttons that caused dozens upon dozens of accidental page turns makes it that much sexier.",1
"p. Three of us stayed in the executive room, it was a little bit crowded though but not as horrible as previous post declared.",1
"With the military faltering and with widespread loss of confidence in the Kaiser, Germany moved towards surrender.",0
"William Frederick, son of the last stadtholder, returned to the Netherlands in 1813 and proclaimed himself Sovereign Prince of the Netherlands.",0
"But I'm really disappointed they didn't keep the same finish as last year's matte finish, last year's model never got fingerprints, except on the screen itself, and looked new at all times.",1
"The number of Shinto shrines in Japan is estimated to be around 100,000.",0
Staff were very friendly and courteous.,1
"Since the Italian Army had suffered heavy losses in the Battle of Caporetto, the Italian Government called to arms the so-called '99 Boys (Ragazzi del '99):",0
All on the way from Milwaukee,1
About a month ago after finishing in one weekend and realizing that I paid $28 for it,1
Telling me how good the gas mileage is not true.,1
"Enlightened industrialists, such as Robert Owen also supported these organisations to improve the conditions of the working class.",0
"In the beginning of this period, these few foreign wrestlers were listed as Japanese, but particularly since the 1960s, a number of high-profile foreign-born wrestlers became well-known, and in more recent years have even come to dominate in the highest ranks.",0
"The room size is actually not bad, in fact, it is larger than the room I stayed at the Holiday Inn Regents Park 6 months ago.",1
The use of machinery and the techniques for producing standardized and interchangeable parts became known as the American system of manufacturing.,0
"From the Meiji Restoration until the end of World War II, the full title of Japan was Dai Nippon Teikoku (大日本帝國), meaning ""the Empire of Great Japan"".",0
"On 24 September, Baralong destroyed U-41, which was in the process of sinking the cargo ship Urbino.",0
"I think the mileage would be even better with a 6, speed stick shift to drop the tachometer from ~2300 rpm to <2000 rpm at 60 mph.",1
"I haven't yet become accustomed to some features like Aero Shake, but hey, those things are there if I need them.",1
"And I like the fact the wireless is a menu option, I just leave it on all the time anyways with little perceptible battery drain.",1
"Don't use the restaurant or room service, there's plenty of places to eat outside the hotel, there's a mini Tesco for groceries, a larger grocery store   plenty of internet cafe's, a Paul's Boulangerie right by the tube, great fro a quick breakfast, the Gloucester Road tube stop is a 3 minute walk, plenty of busses to High Street fabulous shopping!",1
"One of the first, at Dachau, opened on 9 March 1933.",0
"Noticed that the battery indicator started flashing orange, instead a steady orange.",1
The front desk staff was efficent and friendly.,1
"Today Dutch rock and pop music thrives in both languages, with some artists recording in both.",0
The seats are extremely uncomfortable.,1
The rooms are clean and tidy.,1
"Other factors can change demand; for example an increase in income will shift the demand curve for a normal good outward relative to the origin, as in the figure.",0
>,1
"Best part of all is the location, loved the Gloucester Road tube station nearby and the South Kensington area in general, very safe to walk around in any time day or night.",1
"The rooms are small but very clean, charmingly decorated with a view of the little flowered courtyard, comfy beds, plenty of pillows   towels and smiling service.",1
"Finally, on 28 July 1914, Austria-Hungary declared war on Serbia.",0
"Since the Emperor rarely led campaigns personally, Song forces lacked unity of command.",0
"Kenichi Fukui of Kyoto University shared the 1981 prize in chemistry, and Susumu Tonegawa, also educated at Kyoto University, became Japan's first laureate in physiology or medicine in 1987.",0
"Still, video fans should consider stepping up to a product with a larger screen, such as the Zune HD   or iPod Touch.",1
"Room size is fine as of European standard, it's clean and tidy.",1
Healthcare decisions are being made in a dialogue between the patients and healthcare professionals.,0
Promotion and relegation for the next tournament are determined by a wrestler's score over the 15 days.,0
"The best food deal in this area is the local grocery store down the street, get your breakfast and lunch here and dine out nightly.",1
"German Chancellor Bethmann-Hollweg waited until the 31st for an appropriate response, when Germany declared a ""state of danger of war"".",0
I paid for quality & all I've gotten thus far is NOT quality .,1
"As of today, I am a bit disappointed in the build quality of the car.",1
"I was tempted to go for the V6, but I drive 42 miles one way to work and we have an '07 Odyssey with the variable cylinder management system and unless you're on long highway runs it doesn't get the gas mileage Honda claims.",1
"Location is excellent, Rooms Ok Staff variable some very helpful others not so .",1
The location of the hotel is great because it's about a block from the Gloucester Road Tube Station which is on several Tube lines.,1
"This time around, Apple is branching out of its iPod formula in a small, but not insignificant way by gracing the back of the Nano with its own video camera.",1
"Easy, on, the, eyes' reading with adjustable fonts and 16 shades of gray capability using digital ink .",1
"The god Freyr's servant Beyla interjects, and says that, since all of the mountains are shaking, she thinks that Thor is on his way home.",0
"Ruanda and Urundi were allocated to Belgium, whereas German South-West Africa went to South Africa and the United Kingdom obtained German East Africa.",0
Suriname followed in 1975.,0
"Staff were very pleasant, always asking if we needed directions or anything   and smiling and opening doors etc.",1
There are also rooms adapted for people with disabilities which we did not check out but wife   approved of their description in the hotel bumpf.,1
"I haven't drained the battery yet, and I've been coast to coast with it, waits, etc.",1
"Mileage is decent around 24, 27.",1
"The small Greek city-state, ancient Athens, from about the 8th century BC was the first society to be based on broad inclusion of its citizenry, excluding women and the slave class.",0
Numerous place names in Scandinavia contain the Old Norse name Þórr.,0
It's lightweight and allows changes in font size that enables ease of reading no matter how tired your eyes may get.,1
Europe's population increased from about 100 million in 1700 to 400 million by 1900.,0
The staff were friendly and the free coffee and biscoti each morning and wine at 6pm each evening were occassions when one could meet other guests.,1
"I'm 6' tall, and find the driving position pretty comfortable.",1
This response might be attributed to security or economic interests from the potential use of advanced extraterrestrial technology.,0
"Transmission is  confused  and CONTINUALLY shifts at speeds of 28 to 35, 38 to 42, and 45 to 51 MPH.",1
"The rooms are business, oriented, so they are not as hip or stylish as, say, the Sutton Place or the W. We arrived at 23,30 hours and they could not recommend a restaurant so we decided to go to Tesco, with very limited choices but when you are hingry you do not careNext day they rang the bell at 8,00 hours to clean the room, not being very nice being waken up so earlyEvery day they gave us a candy bar and two bottlets of water whic is a very nice touch.",1
"It may be that alien civilizations are detectable through their radio emissions for only a short time, reducing the likelihood of spotting them.",0
This definition has both positivist and naturalist elements.,0
"The buttons are well placed and need a good push to change pages, but not so much that it detracts from your reading.",1
"SUV, wanted something with better gas mileage and something that had good resale value.",1
Friendly Staff Great Location!,1
Windows 7 Home Premium x64.,1
Reaction in Italy to the treaty was extremely negative.,0
"The controls are well placed, and the procedures for navigation are easy to learn.",1
"Very good location, next to underground station, very near to city center.",1
"As the other comments point out, rooms are generally small, but the level of comfort is high as rooms are modern and rooms have been updated recently.",1
"Boilers are pressure vessels that contain water to be boiled, and features that transfer the heat to the water as effectively as possible.",0
The Dutch Reformed Church has been the only major Protestant church in the Netherlands from the Protestant Reformation up until the 19th century.,0
The Eee Super Hybrid Engine utility lets users overclock or underclock their Eee PC's to boost performance or provide better battery life depending on their immediate requirements.,1
"However, throughout this period, British, French, and German tactics constantly evolved to meet new battlefield challenges.",0
Maid service was good and the staff were always pleasant.,1
A key aim of the federation is to have sumo recognized as an Olympic sport.,0
"On December 1, 2009, Obama announced the deployment of an additional 30,000 military personnel to Afghanistan and proposed to begin troop withdrawals 18 months from that date; this took place in July 2011.",0
"Hymir catches a few whales at once, and Thor baits his line with the head of the ox.",0
"However, the quality is absolutely terrible for a Toyota.",1
"This is because increasing output of one good requires transferring inputs to it from production of the other good, decreasing the latter.",0
"Discussions at the Wannsee Conference in January 1942 make it clear that the German ""final solution of the Jewish question"" was intended eventually to include Britain and all the neutral states in Europe, including Ireland, Switzerland, Turkey, Sweden, Portugal, and Spain.",0
The company was purchased by Amazon in 2007 for an undisclosed amount.,0
"The hotel is pretty much as you'd expect from the chain, nice clean rooms well serviced, and the staff were extremely helpful, very pleasant to deal with.",1
"Among economists more generally, it argues that a particular definition presented may reflect the direction toward which the author believes economics is evolving, or should evolve.",0
The hotel has free wireless.,1
Initially architects and styles from abroad were imported to Japan but gradually the country taught its own architects and began to express its own style.,0
"The location was perfect, just a minute from the Gloucester Rd.",1
On a positive note the location is great and the overworked staff did their best however if visiting London their are definitely better options such as the NH which is just around the corner.,1
"Between 1940 and 1942, starvation and disease, especially typhoid, killed many in the ghettos.",0
It exhibits neither Swiss efficiency nor American service.,1
"Adam details that ""Thor, they reckon, rules the sky; he governs thunder and lightning, winds and storms, fine weather and fertility"" and that ""Thor, with his mace, looks like Jupiter"".",0
His full sized laptop dies after about 2 hours of use.,1
I found that the Kindle 2 is immediately appealing to the eye and once described in the barest of terms people want one for themselves.,1
But the difference between the Netherlands and other countries is that the chaos is managed.,0
"4 The restaurant and bar service on the ground floor was OK, but during our stay, the lobby was always really full of other guests.",1
"The touchpad works well, the screen glossy, ness really doesn't bother me, and it's not too bad of a fingerprint magnet.",1
"Our room smelled fresh and clean the beds were comfortable, which is a lot coming from me as I have a spine condition.",1
The room was generally clean.,1
"This was the first public steam railway in the world and then in 1829, he built The Rocket which was entered in and won the Rainhill Trials.",0
"Although Fermi's name is most commonly associated with the paradox, he was not the first to ask the question.",0
Policy applications include estimating the effects of changing tariff rates and trade quotas.,0
"Again, the long, lasting battery makes it worth it.",1
"I like how it looked when I got the car, but with high gas prices, I am very disappointed with the gas mileage.",1
"By February 5, 1938, the International Committee had forwarded to the Japanese embassy a total of 450 cases of murder, rape, and general disorder by Japanese soldiers that had been reported after the American, British and German diplomats had returned to their embassies.",0
Lloyd George's War Cabinet considered the German offer to be a ploy to create divisions amongst the Allies.,0
00 dollars just to upgrade for some fancy new features.,1
When the food arrive   it was the wrong order.,1
Awesome interior with great comfort.,1
"The company began as an online bookstore, which was an idea spurred off with a discussion with John Ingram of Ingram Book (now called Ingram Content Group), along with Keyur Patel who still holds a stake in Amazon.",0
"Thor again tells him to be silent, and threatens to throw him into the sky, where he will never be seen again.",0
"However the hotel is very large and loses some personal service as a result, the service we received was variable, with little recognition of our Platinum Priority Club Rewards status, and slow room service.",1
"We loved the location,, easy walking distance to the wharf and cable cars. 00, however that being said if you are used to staying at true Kimpton hotels this will leave you wanting, but again location and price makes this a great hotel, the wine they serve is 2 buck chuck get there early if you want to partake, there were people everywhere waiting for the pourings, so we decided to skip out on this one.",1
"The reduced-pressure steam is then exhausted to the atmosphere, or condensed and pumped back into the boiler.",0
Traded in my Oddysey for better gas mileage and more comfort.,1
"14,000 Germans surrendered to Russians, and at the First Battle of the Marne about 12,000 Germans surrendered to the Allies.",0
The display is bright & clear in the car.,1
And the free coffee tea and beer wine daily was very nice and allowed for a cozy feeling among the quests.,1
"Pastries are abundant, often with rich fillings of cream, custard or fruits.",0
More than 99 percent of the population speaks Japanese as their first language.,0
"Not only is it pricey at $36 day, but having nothing but valet parking means you have no access to your car unless you have one of the valets fetch it from the lot for you.",1
The Japanese population is rapidly aging as a result of a post–World War II baby boom followed by a decrease in birth rates.,0
so I asked the front dest to help me and was told they couldn't really!,1
"In English placenames, Old English Thunor (in contrast with the Old Norse form of the name, later introduced to the Danelaw) left comparatively few traces.",0
"This culminated in the Battle of Vittorio Veneto, which marked the end of the Austro-Hungarian Army as an effective fighting force.",0
"The Dutch are the tallest people in the world, with an average height of 1.81 metres (5 ft 11.3 in) for adult males and 1.67 metres (5 ft 5.7 in) for adult females in 2009.",0
Their diets can be supplemented by 300 g/kg or more raw chickpea seeds.,0
The laws referred to Jews but applied equally to the Roma and black Germans.,0
I didn't sample any of the food options but there are several outlets just around the hotel.,1
Mary Shelley's novel Frankenstein reflected concerns that scientific progress might be two-edged.,0
Exceptional View and Fabulous Service.,1
de Ayanz,0
"George A. Fitch, Lewis S. C. Smythe, and James McCallum filed affidavits with their diaries and letters.",0
Many places in Northern Montana and especially Utah lost contact with satellite info.,1
Our room was spacious by London standards and had all the amenities we needed.,1
When I tried to check in early the receptionist persuaded me to purchase an 'upgrade' to an executive room as that was available but the regular room that I booked wasn't.,1
"During the Meiji period from 1868, Japan expanded economically with the embrace of the market economy.",0
"The highest temperature ever measured in Japan 41.0 °C (105.8 °F) was recorded on August 12, 2013.",0
We never heard a sound from other rooms besides the door next to ours opening and closing.,1
"As for the overall sound I would give it a 8 out of 10, and the volume offers itself loud enough to tune out everything else at your local gym.",1
The interior is huge and the exterior is super sleek.,1
"Although we arrived after 3pm, rooms were not ready and we were asked to wait.",1
"I like Eee 1005PA, V's battery life.",1
"Dutch cuisine is simple and straightforward, and contains many dairy products.",0
"The battery life has been very good, especially if you follow the rule of turning off the wireless and bluetooth, and turning down the screen brightness.",1
The rooms have an electric tea kettle and the tea and cream is provided.,1
"In some cases the heat source is a nuclear reactor, geothermal energy, solar energy or waste heat from an internal combustion engine or industrial process.",0
The rigidity of interpretive possibilities reached its height under Joseph Stalin.,0
"Many Muslim countries have developed similar rules about legal education and the legal profession, but some still allow lawyers with training in traditional Islamic law to practice law before personal status law courts.",0
"I can tell the backlight is on, but all I get is a black screen.",1
Arrived before check in and was told that two courtyard rooms were reserved for my party and available at 3 .,1
"Fast, stable, compatible, and cool.",1
"In these cases, the three wrestle each other in pairs with the first to win two in a row take the tournament.",0
"I really love the new interface, the turn signs at the corner, speed limit indicator and the fast satellite reception.",1
"On 7 May, when faced with the conditions dictated by the victors, including the so-called ""War Guilt Clause"", von Brockdorff-Rantzau replied to Clemenceau, Wilson and Lloyd George: ""We know the full brunt of hate that confronts us here.",0
The Netherlands continues to be one of the leading European nations for attracting foreign direct investment and is one of the five largest investors in the United States.,0
"Law and economics, or economic analysis of law, is an approach to legal theory that applies methods of economics to law.",0
I really didn't get a chance to experience the staff's level of service but the rooms are small as is the bathroom.,1
"Islam comprised the 4.9% of the total population and other religions (like Judaism, Buddhism and Hinduism) comprised the remaining 1.1%.",0
"WERE NOT CORRECT,",1
